ZIP Code Standard,Zip Codes Clean,City ,State,County,Crime Rate ,Urban or Rural,Population (2010 US Census),Low Access Tract 1and10,Vehicle Access,Low Income Tracts,Poverty Rate,Poverty Tract (At or > 20%),Median Family Income,"Family Income Tract (At or < $59,039)",Low Access to Supermarket,Risk of Of Being Distant from SM,Access to Exercise (%),Lack of Exercise Access,High School Graduation Rate,Below National Average (84.6%),Percentage Unemployed,Unemployed Tract (National Average = 3.7%,Percentage Uninsured,Uninsured Tract (National Average = 8.8%
81631,81631,EAGLE,Colorado,Eagle,0,0,3231,0,0,0,12.1,0,98750,0,0,0,0.98,0,0.71,1,0.023,0,0.13,1
81632,81632,EDWARDS,Colorado,Eagle,0,0,1398,0,0,0,8.9,0,79643,0,35.40638637,0,0.87,0,0.85,0,0.029,0,0.15,1
81637,81637,GYPSUM,Colorado,Eagle,0,0,1270,0,0,0,0.8,0,87656,0,0,0,0.81,0,0.94,0,0.024,0,0.08,0
81645,81645,Gilman,Colorado,Eagle,1,0,1270,0,0,0,0.8,0,87656,0,0,0,0.81,0,0.94,0,0.024,0,0.08,0
81649,81649,Red Cliff,Colorado,Eagle,1,0,1479,0,0,0,5.2,0,94213,0,0,0,0.81,0,0.94,0,0.024,0,0.08,0
81657,81657,VAIL,Colorado,Eagle,1,0,8247,0,0,0,3.5,0,104848,0,2.43551425,0,0.98,0,0.71,1,0.023,0,0.13,1
81658,81658,VAIL,Colorado,Eagle,0,0,8247,0,0,0,3.5,0,104848,0,2.43551425,0,0.71,0,0.79,1,0.037,0,0.11,1
80831,80831,PEYTON,Colorado,El Paso,0,0,3156,0,0,1,13,0,47794,1,0,0,0.88,0,0.76,1,0.033,0,0.07,0
80909,80909,COLORADO SPRINGS,Colorado,El Paso,1,0,6897,0,0,0,8.1,0,70329,0,751.8911912,0,0.88,0,0.76,1,0.033,0,0.07,0
80927,80927,COLORADO SPRINGS,Colorado,El Paso,0,0,6259,0,0,0,7.2,0,74627,0,0,0,0.88,0,0.76,1,0.033,0,0.07,0
80107,80107,ELIZABETH,Colorado,Elbert,0,0,6687,0,1,0,3.5,0,112808,0,1307.221065,1,0.57,1,0.86,0,0.024,0,0.07,0
80117,80117,Kiowa,Colorado,Elbert,0,0,1707,0,0,0,14.8,0,82824,0,1429.861579,1,0.57,1,0.86,0,0.024,0,0.07,0
80835,80835,Simla,Colorado,Elbert,0,0,3412,0,0,0,5.7,0,96185,0,0,0,0.57,1,0.86,0,0.024,0,0.07,0
81635,81635,PARACHUTE,Colorado,Garfield,0,0,3564,0,0,0,3,0,87465,0,3.706637053,0,0.87,0,0.85,0,0.029,0,0.15,1
81647,81647,NEW CASTLE,Colorado,Garfield,0,0,4741,0,1,1,11.2,0,54375,1,108.2542964,0,0.87,0,0.85,0,0.029,0,0.15,1
